objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
329,S12000005,Clackmannanshire, ,291159,696335,-3.75344,56.14724,159232895.883791,73844.8438203005
330,S12000006,Dumfries and Galloway, ,270645,579856,-4.02863,55.09621,6445067231.40082,689568.881058481
331,S12000008,East Ayrshire, ,255398,624935,-4.29057,55.496738,1272832615.86674,276686.020027804
332,S12000010,East Lothian, ,354854,672351,-2.72435,55.94207,678543757.356972,149493.883282037
333,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.74868,175683611.93449,75237.1219538986
334,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65722,58.199379,3032017857.1636,1645313.85009791
335,S12000014,Falkirk, ,289661,679536,-3.7706,55.99604,296706694.66437,117083.001035295
336,S12000017,Highland, ,241018,858292,-4.66103,57.586571,26291797787.2421,2890481.75387409
337,S12000018,Inverclyde, ,227922,670894,-4.75387,55.900299,162448990.871007,61139.2731285493
338,S12000019,Midlothian, ,330088,659217,-3.11738,55.82111,354813985.934278,110233.841227705
339,S12000020,Moray, ,328024,843593,-3.20187,57.47683,2243947309.85464,356102.199807529
340,S12000021,North Ayrshire, ,228996,651640,-4.7246,55.72789,881524981.311453,255382.28055356
341,S12000023,Orkney Islands, ,348293,1006584,-2.90025,58.94334,1007307595.37863,771549.450005118
342,S12000026,Scottish Borders, ,345891,626135,-2.85866,55.52594,4744516442.43112,430160.735812936
343,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.504951,1450896786.59348,1192520.73099181
344,S12000028,South Ayrshire, ,226545,596271,-4.72899,55.23008,1224445262.45293,252777.689114426
345,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.60453,1771731535.88515,247208.200571148
346,S12000030,Stirling, ,255980,708769,-4.32595,56.249531,2261949444.64469,290565.86280773
347,S12000033,Aberdeen City, ,387763,808479,-2.20398,57.166969,185416317.160673,88078.5110698823
348,S12000034,Aberdeenshire, ,352284,816277,-2.79208,57.234692,6324833100.32313,561629.313650337
349,S12000035,Argyll and Bute, ,200740,715443,-5.22114,56.28944,7088548938.74295,2037905.69779507
350,S12000036,City of Edinburgh, ,320193,669416,-3.27826,55.91119,263292307.255356,89188.9759266038
351,S12000038,Renfrewshire, ,239305,664698,-4.56834,55.848621,271395331.026568,89105.5096129222
352,S12000039,West Dunbartonshire, ,242904,681586,-4.52074,56.0014,177490882.278666,71209.3586164914
353,S12000040,West Lothian, ,299483,668514,-3.60909,55.8992,426840563.414288,113825.130882407
354,S12000041,Angus, ,345518,759594,-2.89189,56.7248,2193995565.90491,245203.009307172
355,S12000042,Dundee City, ,340291,732145,-2.97095,56.4776,60639153.770716,38817.6849398227
356,S12000045,East Dunbartonshire, ,261240,676154,-4.22417,55.95829,173578352.182457,83606.6273080645
357,S12000047,Fife, ,339197,704726,-2.98235,56.231171,1325282490.8753,251754.629507684
358,S12000048,Perth and Kinross, ,284304,744186,-3.8848,56.575291,5385637143.90139,482619.752629945
359,S12000049,Glasgow City, ,261534,667033,-4.21479,55.876492,178522607.561675,87346.6488518312
360,S12000050,North Lanarkshire, ,277984,665608,-3.9514,55.868141,470403040.707092,139061.786893946
361,W06000001,Isle of Anglesey,Ynys Môn,245212,378343,-4.32306,53.279419,710126392.140443,208619.130575723
362,W06000002,Gwynedd,Gwynedd,280555,334966,-3.77715,52.89883,2554766177.68013,428598.822967736
363,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.147388,1136763349.22872,192087.634855838
364,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.088329,834993112.169365,188604.662960492
365,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.18248,53.21471,436415582.725472,135300.381621256
366,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.001671,506885367.147927,155283.776279245
367,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.297951,1785331104.37429,261836.732633414
368,W06000009,Pembrokeshire,Sir Benfro,199821,221392,-4.90818,51.855129,1635007925.09511,346360.43591044
369,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111,51.894951,2369376127.00637,316574.689691289
370,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.658058,375349174.333075,147079.196722931
371,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.644501,448078907.306966,121754.950607048
372,W06000013,Bridgend,Pen-y-bont ar Ogwr,288231,185870,-3.61375,51.5606,249904235.709565,76958.9733839696
373,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173081,-3.39803,51.44836,330859792.433865,88779.1007327329
374,W06000015,Cardiff,Caerdydd,315273,178887,-3.22208,51.502541,142196109.538707,59976.3728987325
375,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.621849,422322765.345917,112336.533505482
376,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.650009,277815064.267862,98224.500000479
377,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.753639,109273372.238997,58166.9529683032
378,W06000020,Torfaen,Torfaen,327459,200480,-3.05101,51.69836,125716747.279712,68469.9672777462
379,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028,51.778271,854020864.551816,180482.922868726
380,W06000022,Newport,Casnewydd,337897,187432,-2.89769,51.58231,191980302.772196,87207.5287937163
381,W06000023,Powys,Powys,302329,273255,-3.43531,52.34864,5198694946.93759,503347.401663157
382,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36425,51.748581,113429186.940105,59195.3263419352
